"country_region","total_cases","incident_rate","fatality_ratio"
"United Kingdom","1.0988851E7","25825.888219405777","7.6923076923076925"
"France","9761814.0","19170.4602933738","2.473230361034777"
"Turkey","9482550.0","11245.70182878594","1.0635144794881182"
"India","6678821.0","16166.633037917707","3.24062305007973"
"Iran","6194401.0","7374.905606664407","4.493722333971346"
"Argentina","5654408.0","12510.921097783095","2.658269483073698"
"Brazil","4456108.0","21309.724462287933","6.001071999065981"
"Indonesia","4262720.0","1558.446756596572","3.3803319147738202"
"Poland","4108215.0","10854.910235673717","2.6107061953840764"
"South Africa","3458286.0","5830.993738017143","3.4396810202489845"
"Philippines","2843979.0","2595.319256055915","2.157743416629715"
"Czechia","2475729.0","23118.24784092457","1.8177307102460178"
"Thailand","2223435.0","3185.4379667569524","1.0440819962445715"
"Iraq","2093740.0","5205.394602121106","2.1509813097436568"
"Russia","2030744.0","16237.550042106212","9.312877882350211"
"Romania","1808891.0","9402.853212772725","3.2498455212238597"
"Vietnam","1731257.0","1778.5927703508896","2.5117341554185413"
"US","1696582.0","2164021.75951979","18.181818181818183"
"Bangladesh","1585539.0","962.7451212201092","1.7758219362576932"
"Colombia","1482495.0","19999.754470988853","5.674214261574856"
"Portugal","1389646.0","13628.380221183172","2.0525242846597216"
"Israel","1383932.0","15988.971688771391","0.7831789223121981"
"Germany","1372712.0","16037.005966497276","4.044646657073952"
"Slovakia","1371082.0","25113.033947457734","1.615603840636033"
"Switzerland","1332615.0","15397.733325722751","1.8267518749776732"
"Serbia","1299339.0","14871.053875479693","1.0171233394290204"
"Austria","1270811.0","14196.782288150647","1.8977364686291112"
"Hungary","1256415.0","13005.895231539229","3.711668884458801"
"Italy","1217364.0","18954.27169473885","5.264593562465903"
"Greece","1210853.0","11617.063172259652","3.7208356297404404"
"Spain","1167381.0","19085.58557172442","4.949381327334083"
"Kazakhstan","1072518.0","5711.960036443025","2.0499810972098067"
"Jordan","1063405.0","10270.887197470583","1.3215669657387448"
"Mexico","1003554.0","11127.547430905639","17.286519464253246"
"Peru","1001391.0","15703.684483653347","15.067136021584705"
"Cuba","966004.0","8528.619668928477","1.2110152621101526"
"Morocco","963092.0","2609.258846750569","1.7868810896491167"
"Georgia","934741.0","23431.937681350155","1.476344784277142"
"Nepal","828431.0","2843.245560735411","1.432820287371533"
"Denmark","802397.0","13853.053838064725","1.1266122918085193"
"Canada","796905.0","8194.222443581064","4.3741588156123825"
"Ireland","788559.0","15969.857807005394","2.403455501860326"
"Malaysia","786630.0","12024.48829850655","4.3478260869565215"
"United Arab Emirates","761937.0","7703.803688425139","0.32775942826234566"
"Chile","753301.0","18130.941014693784","3.496192540714802"
"Bulgaria","747108.0","10752.161095036372","4.296809428676132"
"Lebanon","727930.0","10664.950343142613","1.4410586111233432"
"Tunisia","726706.0","6148.823830332784","3.6718153683889145"
"Netherlands","716464.0","20607.392940034963","2.1852135192922577"
"Croatia","715245.0","17422.61406563469","2.2814965329247237"
"Belarus","699110.0","7398.521015425341","0.7978715795797514"
"Mongolia","692621.0","11876.94689795784","0.5289574593560317"
"Korea, South","635253.0","1239.0542677459869","1.822208919485184"
"Guatemala","628359.0","3507.335268819569","3.681497352427768"
"Azerbaijan","616947.0","6084.785004697128","1.4802675605178706"
"Bolivia","599753.0","5137.938062177349","5.699288753610585"
"Sri Lanka","587245.0","2742.4375094859492","2.552746730164595"
"Costa Rica","570556.0","11200.299011761415","1.3726477002476885"
"Saudi Arabia","556236.0","1597.7426466298614","1.734096153583571"
"Ecuador","549418.0","3114.074315906651","6.585027509865122"
"Burma","530834.0","975.6221462628585","3.875691995380656"
"Lithuania","524427.0","19086.7545019985","1.6655407655493288"
"Panama","495920.0","11493.549595250544","1.7248064798724705"
"Pakistan","482029.0","5415.504651714466","3.2689827014035124"
"West Bank and Gaza","469748.0","9208.188471592983","1.158823815073815"
"Paraguay","466101.0","6534.862103629427","3.5689005643372425"
"Slovenia","464048.0","22321.461211814527","2.2549222139236282"
"Venezuela","444635.0","1563.637260069061","1.2144233415909715"
"Ethiopia","420342.0","365.6305666812768","1.831546937071024"
"Dominican Republic","418778.0","3860.4508299483477","1.4028731026954209"
"Kuwait","417135.0","9767.681685061198","0.6204057825000497"
"Uruguay","413383.0","11900.273107241876","1.5672278082206024"
"Norway","394259.0","7272.484792230269","0.9067076327082673"
"Libya","388734.0","5657.368117501132","1.7097858927016893"
"Egypt","385575.0","376.7794492337049","5.9431041709804004"
"Japan","383078.0","3486.314039395307","6.169665809768637"
"Honduras","379402.0","3830.5604825551904","2.7536853475663996"
"Moldova","376155.0","9324.7012925007","2.7315867129241935"
"Armenia","344930.0","11640.322701480882","2.3119073380577078"
"Ukraine","331936.0","13200.843898652549","4.601561081866038"
"Sweden","320190.0","14621.32467470226","3.408587870739265"
"Oman","305489.0","5982.212899251209","1.351391331503427"
"Belgium","303202.0","20650.17185997673","0.0"
"Kenya","295028.0","548.6718751452912","2.0931231019501415"
"Bosnia and Herzegovina","291313.0","8879.287616034431","4.714873775800851"
"Bahrain","282062.0","16576.446755756257","0.5154793434184735"
"Singapore","279405.0","4775.8738248338595","0.2967156277423717"
"Latvia","276674.0","14668.312301651675","1.9175260353750492"
"Finland","270829.0","4697.802703548529","1.555830576111939"
"Zambia","254274.0","1383.129942217007","1.857408201171596"
"Qatar","250528.0","8695.688392466662","0.26828263284245224"
"Nigeria","241513.0","117.15993202217872","1.4607109395283733"
"Estonia","241408.0","18198.334161302457","0.9711423215218661"
"North Macedonia","225049.0","10802.110032735269","3.5424285211596964"
"Botswana","219509.0","9334.353904215171","1.62442256260637"
"Algeria","218432.0","498.12270143722685","2.887150267879922"
"Zimbabwe","213258.0","1434.8317797698933","4.142471032138939"
"Albania","210224.0","7305.024671624156","2.025173194320598"
"Australia","210051.0","2774.9438151404997","5.555555555555555"
"Uzbekistan","198903.0","594.286705218132","0.7955222720323392"
"Mozambique","189080.0","604.9507869591322","1.2809513753233726"
"Kyrgyzstan","184689.0","2830.8337386198527","1.7293806426103575"
"Montenegro","170034.0","27072.804914164528","1.6135462137973648"
"Cyprus","166827.0","13817.491206027029","0.6854009595613434"
"Kosovo","161484.0","8919.964250322862","2.594074016543047"
"Afghanistan","158084.0","406.0897432027736","4.661347449716777"
"Namibia","147974.0","5823.647849830533","2.766336327036234"
"Ghana","142986.0","460.162369546884","0.9513990493590375"
"Uganda","140737.0","307.68238560591146","3.0076036653566334"
"El Salvador","121945.0","1880.068163166698","3.2357038317081344"
"Cambodia","120493.0","720.6962677308311","2.4998547561147677"
"Rwanda","111786.0","863.0651342948528","1.4192647743136342"
"Laos","111060.0","1526.481275108047","0.3349540788762831"
"Cameroon","109367.0","411.9926177577042","1.7067615789619275"
"Luxembourg","103766.0","16576.673866090714","1.2224898264263766"
"Maldives","95700.0","17704.452197979066","0.3503002573634544"
"Jamaica","93920.0","3171.728926593319","2.6669122985728064"
"Trinidad and Tobago","91899.0","6566.601714480478","3.1219055702455956"
"Angola","81593.0","248.25757521358986","2.723100088895339"
"Malawi","75075.0","392.44734240096227","3.7249190938511325"
"Senegal","75055.0","448.25199340895483","2.7582159624413145"
"Congo (Kinshasa)","74793.0","83.51030316585927","3.311109866098941"
"Cote d'Ivoire","71004.0","269.17605491640376","1.1419513457556936"
"Mauritius","68480.0","1847.2723384079002","1.8975332068311195"
"China","68317.0","168.72109172376958","6.620786805382324"
"Eswatini","66109.0","5698.246110032718","3.855019015788867"
"Fiji","53332.0","5949.284060130917","4.081632653061225"
"Malta","52473.0","11884.114427038157","1.69649082035789"
"Suriname","52446.0","8940.15689509984","2.5712248038737284"
"Madagascar","50279.0","181.5715051872956","2.233568813970297"
"Syria","50278.0","287.2920713776632","7.3740522649424625"
"Sudan","46518.0","106.08614706895113","7.701675033550376"
"Gabon","41798.0","1877.9473502602289","0.7574549513634189"
"Cabo Verde","41732.0","7505.91739390059","0.9845967985502869"
"Mauritania","41473.0","891.9576915301334","2.5629104434241876"
"Guyana","39573.0","5031.154687696663","2.6841176921700454"
"Papua New Guinea","36158.0","404.1342448167417","1.6359293411843128"
"Belize","32840.0","8259.12112287832","2.5852812422565457"
"Guinea","32051.0","244.05320666009172","1.2608482069756017"
"Togo","30163.0","364.34301512416687","1.8725617685305591"
"Tanzania","29306.0","49.06066143367453","4.12573673870334"
"Barbados","28565.0","9940.112259065809","1.7721518987341771"
"Lesotho","28408.0","1326.081151983987","3.047929269427641"
"Burundi","27366.0","230.1446809927792","0.5063291139240507"
"Iceland","27059.0","7929.3772893772875","0.5039972193256865"
"Haiti","26169.0","227.887961385422","2.9544219271682586"
"Benin","24935.0","205.6800524086136","1.367826345524829"
"Seychelles","24788.0","25206.426682936748","0.5474532474926641"
"Bahamas","24476.0","6224.062169419806","3.1039136302294197"
"Andorra","23740.0","30725.425483724845","1.0348650979425895"
"Somalia","23532.0","148.06314567237763","5.777065094912023"
"Mali","21008.0","103.73893736919676","4.231227651966627"
"Congo (Brazzaville)","20089.0","364.05699651256265","1.9031232076750613"
"Timor-Leste","19837.0","1504.578889325431","0.6166287591609806"
"Burkina Faso","17632.0","84.3504066682747","1.8603286384976525"
"Tajikistan","17493.0","183.4101133173168","0.795877095700959"
"Taiwan*","17029.0","71.50002466748752","5.229289016618768"
"Brunei","15470.0","3536.1374041962767","1.910828025477707"
"South Sudan","15242.0","136.1655262513502","1.7706576728499157"
"New Zealand","14118.0","292.7689309081498","1.1563367252543941"
"Equatorial Guinea","13710.0","977.2021796384137","1.6297138525677468"
"Djibouti","13656.0","1382.1834368756338","1.3985496522125203"
"Saint Lucia","13570.0","7389.900288080858","2.23874933596418"
"Nicaragua","13563.0","263.9724878082358","2.7290770757525635"
"Central African Republic","12163.0","251.8342511145472","1.395491489035424"
"Gambia","10170.0","420.8280505688834","3.4241089307168604"
"Yemen","10126.0","33.95028117779782","29.073634204275535"
"San Marino","8202.0","24167.599740703638","2.486963497793823"
"Eritrea","8011.0","225.8893246639505","0.9486955436275122"
"Niger","7405.0","30.590785105373588","3.778302542019725"
"Sierra Leone","7064.0","88.55476097798855","2.8842504743833017"
"Dominica","6814.0","9465.07202289175","0.690108445612882"
"Comoros","6515.0","749.1993399226077","4.097421203438396"
"Guinea-Bissau","6484.0","329.47187954459304","2.3255813953488373"
"Liberia","6278.0","124.12813234218001","4.938908965754603"
"Grenada","6181.0","5493.29446582355","3.4112229234180456"
"Liechtenstein","6131.0","16076.251409392451","2.12"
"Saint Vincent and the Grenadines","5850.0","5272.787907739732","1.3898421413864104"
"Chad","5703.0","34.719645407890084","4.857543204110229"
"Monaco","4985.0","12702.578738151054","1.3168395849960095"
"Antigua and Barbuda","4283.0","4373.621436157177","3.359375"
"Sao Tome and Principe","3897.0","1778.1448341630123","1.748400852878465"
"Saint Kitts and Nevis","2999.0","5638.065874567604","1.0130246020260492"
"Bhutan","2660.0","344.7328450050025","0.1297016861219196"
"Holy See","27.0","3337.453646477132","0.0"
"Solomon Islands","24.0","3.6761439700516814","0.0"
"Palau","10.0","44.4247001332741","0.0"
"Vanuatu","7.0","2.3916905835725024","25.0"
"Marshall Islands","4.0","6.8477907315152455","0.0"
"Samoa","3.0","1.5295977158007443","0.0"
"Kiribati","2.0","1.7005935071339897","0.0"
"Tonga","1.0","0.9461006461867414","0.0"
"Micronesia","1.0","0.8786188112287484","0.0"
